"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"75","Bass on Titles","'31/12/1977'",3.6e-05,0,0,"Documentary, Short","6.9/10","46","N/A",NA
"76","Volcanoes of the Deep Sea","14 Sep 2003",0.582101,0,0,"Short, Documentary","7.0/10","286","Stephen Low","78%"
"77","è€Åç‚®å„¿","'16/09/2015'",0.256257,0,0,NA,NA,NA,NA,NA
"78","Hevisaurus-elokuva","27 Nov 2015",0.04875,0,0,"Family, Fantasy, Music","5.4/10","15","Pekka Karjalainen",NA
"79","Popp und Mingel","09 Jul 1975",0,0,0,"Drama",NA,"N/A","Ula Stˆckl",NA
"80","Hum Do Anjaane","'01/01/2011'",0.025896,0,0,"Action, Crime, Drama","3.8/10","12","Milind Swamy",NA
"81","Matalo!","21 Jan 2005",0.00375,0,0,"Short",NA,"N/A","Jean-StÈphane Sauvaire",NA
"82","Antarctic","19 May 2005",NA,0,0,"Horror, Mystery, Thriller","6.0/10","1,452","Pil-sung Yim",NA
"83","TheEYE: Richard Wilson","'NaT'",0,0,0,NA,NA,NA,NA,NA
"84","Big Time Paranoia","01 Nov 2007",0.005625,0,0,"Comedy","7.0/10","27","N/A",NA
"85","Before I Self Destruct","16 Nov 2009",0.588975,0,0,"Action, Crime, Drama","4.9/10","1,560","50 Cent",NA
"86","Fles","01 Mar 1991",NA,10,0,"Documentary",NA,"N/A","Rein Bloem",NA
"87","Burden","05 May 2017",0.118906,0,0,"Documentary, Biography","6.4/10","80","Richard Dewey, Timothy Marrinan","97%"
"88","Hook","11 Dec 1991",4.147069,70000000,300854823,"Adventure, Comedy, Family","6.7/10","195,020","Steven Spielberg","30%"
"89","The Wolverine","26 Jul 2013",1.840134,120000000,415440673,"Action, Adventure, Sci-Fi","6.7/10","362,900","James Mangold","69%"
"90","Prince Philip: The Plot to Make a King","06 Apr 2016",0.062146,0,0,"Documentary",NA,"N/A","N/A",NA
"91","Erendira Ikikunari","27 Jan 2009",0.007387,0,0,"Documentary, Short",NA,"N/A","N/A",NA
"92","Top Banana","22 Feb 1954",0.002955,0,0,"Comedy, Musical, Romance","5.7/10","218","Alfred E. Green, Albert Zugsmith",NA
"93","Burn That Way After All","'17/02/2017'",0.265448,0,0,NA,NA,NA,NA,NA
"94","Sleeping Dogs","13 Jul 1978",0.020625,0,0,"Action, Thriller, Drama","6.6/10","678","Roger Donaldson",NA
